title,year,score
VWGOLF,1998,1
VWGOLFVARIANT,1997,0
VWGOLF,1998,3
VWGOLFVARIANT,2005,1
VWTOURAN,2006,2
VWMULTIVAN,2019,0
VWPOLO,2012,0
VWPASSAT,1996,2
VWCADDY,2010,2
VWPASSAT,1996,2
VWGOLF,1998,1
VWPASSAT,2017,0
VWPASSATVARIANT,2000,2
VWTOURAN,2007,1
VWTIGUAN,2019,0
VWPASSAT,2010,1
VWPASSAT,2008,1
VWGOLF,2007,2
VWTIGUAN,2017,0
VWGOLF,2018,0
VWJETTA,2006,1
VWGOLF,2008,2
VWTOUAREG,2019,0
VWGOLF,1992,2
VWGOLF,1990,1
VWPASSAT,2005,2
VWGOLF,2019,1
VWCADDY,2010,0
VWGOLF,2016,0
VWTRANSPORTER,2004,1
VWBORA,2002,0
VWTIGUAN,2019,0
VWPASSATVARIANT,2001,2
VWGOLF,2006,1
VWGOLF,2006,1
VWPASSAT,2005,2
VWTOURAN,2003,2
VWBORA,1999,2
VWGOLF,2017,0
VWTOURAN,2005,1
VWTIGUAN,2019,0
VWTIGUAN,2019,0
VWGOLF,1997,2
VWGOLFVARIANT,2005,1
VWGOLF,2019,0
VWMULTIVAN,1997,2
VWGOLF,2005,2
VWPASSAT,2006,0
VWTIGUAN,2019,0
VWGOLF,2007,1
VWTOURAN,2006,1
VWGOLF,2011,1
VWGOLFPLUS,2005,2
VWTIGUAN,2019,0
VWTIGUAN,2019,0
VWBORA,2003,0
VWTIGUAN,2018,0
VWPASSATVARIANT,2007,1
VWTIGUAN,2017,0
VWTIGUAN,2017,0
VWPASSAT,2016,2
VWTRANSPORTER,2007,2
VWPASSATVARIANT,1998,2
VWGOLF,2000,2
VWGOLF,1998,1
VWGOLF,1999,2
VWCADDY,2012,0
VWGOLF,1999,2
VWPASSATVARIANT,2003,1
VWPASSAT,2010,1
VWPOLO,2007,1
VWPASSATVARIANT,1998,2
VWTRANSPORTER,2001,1
VWGOLF,2014,1
VWGOLF,2019,0
VWGOLFPLUS,2007,0
VWPASSATVARIANT,2004,2
VWTOUAREG,2007,2
VWPASSAT,2011,1
VWTIGUAN,2012,0
VWGOLF,1989,1
VWPASSAT,2017,0
VWCRAFTER,2019,1
VWTRANSPORTER,1992,2
VWGOLF,2017,0
VWTIGUAN,2017,1
VWTIGUAN,2019,0
VWGOLFVARIANT,1995,2
VWPASSAT,2016,0
VWPASSAT,2007,0
VWPASSAT,1984,2
VWTIGUAN,2017,0
VWPASSATCC,2009,0
VWPASSAT,1998,1
VWGOLF,2012,2
VWTIGUAN,2017,0
VWTIGUAN,2019,0
VWGOLF,2006,1
VWGOLF,2002,1
VWPASSAT,2017,0
VWGOLF,1999,2
VWGOLF,2007,2
VWTOURAN,2004,1
VWGOLF,2017,0
VWGOLF,1993,1
VWTIGUAN,2011,0
VWGOLF,1999,2
VWTRANSPORTER,2003,3
VWTOURAN,2006,2
VWGOLF,2003,1
VWGOLF,2001,2
VWPASSAT,2017,0
VWPASSAT,2007,1
VWGOLF,2007,1
VWGOLF,2017,0
VWGOLFPLUS,2009,2
VWPASSATVARIANT,2002,1
VWTRANSPORTER,1995,2
VWCARAVELLE,1997,1
VWGOLF,2000,2
VWPASSATVARIANT,2005,2
VWTOURAN,2008,0
VWPOLO,2004,1
VWCADDY,2002,2
VWTIGUAN,2019,0
VWPOLO,1997,2
VWGOLF,2007,0
VWGOLF,1999,1
VWPASSAT,2008,2
VWPASSAT,2017,0
VWGOLFSPORTSVAN,2014,1
VWGOLF,1997,1
VWPOLO,1999,2
VWSHARAN,2004,1
VWTOURAN,2005,1
VWPOLO,2011,0
VWPASSAT,2010,2
VWTOURAN,2007,1
VWPASSAT,2006,1
VWPASSAT,1989,1
VWGOLF,2019,0
VWGOLF,2005,0
VWTOURAN,2003,2
VWPASSATVARIANT,2001,2
VWMULTIVAN,1999,1
VWGOLF,2001,2
VWGOLF,2019,0
VWTOURAN,2007,2
VWLUPO,1999,1
VWPASSAT,2012,0
VWPASSAT,2002,1
VWTOUAREG,2006,1
VWBORA,2004,1
VWPOLOVARIANT,2000,1
VWGOLFPLUS,2005,0
VWPASSAT,2011,1
VWSHARAN,1998,2
VWPOLO,1995,2
VWTIGUAN,2017,0
VWCADDY,2004,2
VWGOLF,2011,1
VWPASSAT,1998,1
VWSHARAN,2002,1
VWPASSATVARIANT,2003,1
VWCADDY,2011,1
VWPASSATVARIANT,2004,2
VWPASSATVARIANT,1998,1
VWPASSATVARIANT,1993,2
VWTRANSPORTER,2000,0
VWCRAFTER,2020,0
VWGOLF,1999,1
VWGOLFVARIANT,1995,2
VWTOURAN,2005,2
VWGOLF,1991,1
VWCARAVELLE,1999,1
VWTOURAN,2015,1
VWTOURAN,2003,2
VWGOLF,2001,2
VWPASSAT,2016,0
VWPASSATVARIANT,2001,1
VWPASSATVARIANT,2004,0
VWGOLF,2001,2
VWGOLF,2002,2
VWPASSATVARIANT,2005,1
VWGOLF,1999,2
VWCADDY,2008,1
VWPASSAT,2013,1
VWGOLFVARIANT,2000,2
VWGOLFPLUS,2006,1
VWPASSAT,2015,0
VWTRANSPORTER,2003,2
VWMULTIVAN,1998,1
VWGOLF,1991,2
VWCARAVELLE,2012,1
VWGOLF,1988,1
VWTRANSPORTER,2003,2
VWGOLFPLUS,2008,0
VWGOLF,2002,2
VWPASSAT,2011,1
VWGOLF,2009,0
VWPASSAT,1998,1
VWPOLO,2005,2
VWPASSAT,1998,2
VWGOLF,1987,1
VWPASSATVARIANT,2004,2
VWCARAVELLE,2012,1
VWMULTIVAN,2011,0
VWPASSATVARIANT,2004,0
VWPOLO,2012,2
VWTIGUAN,2017,0
VWTOURAN,2004,1
VWGOLF,2006,1
VWGOLFPLUS,2005,2
VWGOLF,2007,2
VWTIGUAN,2019,0
VWGOLF,2004,1
VWGOLF,2017,2
VWTOURAN,2004,1
